beetag,sym_state,treatment,tank_no,pic_day,food,light,col_num,date,sacrifice_no,broken_airbrush,broken_skeleton,tin_weight,dry_weight,difference_dw.tw,AF_dry_weight,difference_dw.af,biomass,SA_foilweight_1,SA_foilweight_2,SA_foilweight_3,SA_foilweight_AVG,SA_stdev,multiplier,SA_AVG,biomass_cm2,sample_no,polyp_num,g_per_polyp,biomass_mg_cm2,average_g_cm2
B73W67,Aposymbiotic,Fed High Light,14,A,fed,high,UNIQUE,4/21/24,60,0,0,2.2029,2.2115,0.0086,2.2065,0.005,0.005,0.0148,0.0155,0.0148,0.015033333,0.000404145,0.003680476,4.084617133,0.001224105,70,9,0.000555556,1.224105,
B75W32,Aposymbiotic,Fed High Light,13,A,fed,high,113,5/21/24,90,0,0,2.2224,2.2393,0.0169,2.2312,0.0081,0.0081,0.0094,0.0083,0.0093,0.009,0.000608276,0.003680476,2.445336199,0.003312428,15,12,0.000675,3.312428,
B76W29,Aposymbiotic,Fed High Light,13,A,fed,high,90,5/21/24,90,0,0,2.2225,2.2323,0.0098,2.2286,0.0037,0.0037,0.0073,0.0085,0.0081,0.007966667,0.00061101,0.003680476,2.164575376,0.001709342,16,10,0.00037,1.709342,
B87W39,Aposymbiotic,Fed High Light,13,A,fed,high,43,5/21/24,90,0,0,2.2106,2.2177,0.0071,2.2147,0.003,0.003,0.0113,0.0113,0.0105,0.011033333,0.00046188,0.003680476,2.997801044,0.001000734,18,11,0.000272727,1.000734,
B93W75,Aposymbiotic,Fed High Light,13,A,fed,high,75,5/21/24,90,0,0,2.2213,2.2332,0.0119,2.2274,0.0058,0.0058,0.0115,0.0113,0.0115,0.011433333,0.00011547,0.003680476,3.106482653,0.001867063,20,12,0.000483333,1.867063,
B1W82,Aposymbiotic,Initial,NA,,NA,NA,126,2/21/24,0,0,NA,2.2349,2.2472,0.0123,2.2421,0.0051,0.0051,0.0151,0.0133,0.0159,0.014766667,0.001331666,0.003680476,4.012162727,0.001271135,1,6,0.00085,1.271135,
B21W42,Aposymbiotic,Initial,NA,,NA,NA,111,2/21/24,0,0,NA,2.259,2.3049,0.0459,2.2768,0.0281,0.0281,0.0339,0.0316,0.0344,0.0333,0.001493318,0.003680476,9.047743937,0.003105747,2,12,0.002341667,3.105747,
B28Y47,Aposymbiotic,Initial,NA,,NA,NA,111,2/21/24,0,0,NA,2.2054,2.2332,0.0278,2.2157,0.0175,0.0175,0.0267,0.0255,0.025,0.025733333,0.000873689,0.003680476,6.99185017,0.002502914,3,12,0.001458333,2.502914,
B30Y10,Aposymbiotic,Initial,NA,,NA,NA,95,2/21/24,0,0,NA,2.2766,2.306,0.0294,2.2845,0.0215,0.0215,0.0208,0.019,0.0216,0.020466667,0.001331666,0.003680476,5.560875653,0.003866298,6,13,0.001653846,3.866298,
B37B42,Aposymbiotic,Initial,NA,,NA,NA,25,2/21/24,0,0,1,2.2089,2.2292,0.0203,2.2187,0.0105,0.0105,0.0242,0.0236,0.0222,0.023333333,0.00102632,0.003680476,6.339760517,0.001656214,8,13,0.000807692,1.656214,
B38B15,Aposymbiotic,Initial,NA,,NA,NA,102,2/21/24,0,0,NA,2.2197,2.2371,0.0174,2.226,0.0111,0.0111,0.0198,0.0173,0.0195,0.018866667,0.00136504,0.003680476,5.126149218,0.002165368,10,13,0.000853846,2.165368,
B41G72,Aposymbiotic,Initial,NA,,NA,NA,95,2/21/24,0,0,NA,2.1823,2.2098,0.0275,2.1939,0.0159,0.0159,0.0201,0.0209,0.0203,0.020433333,0.000416333,0.003680476,5.551818852,0.002863926,13,15,0.00106,2.863926,
B46B15,Aposymbiotic,Initial,NA,,NA,NA,105,2/21/24,0,0,NA,2.2265,2.2367,0.0102,2.2309,0.0058,0.0058,0.0136,0.0143,0.0148,0.014233333,0.000602771,0.003680476,3.867253915,0.001499772,15,12,0.000483333,1.499772,
B46Y20,Aposymbiotic,Initial,NA,,NA,NA,113,2/21/24,0,0,NA,2.2223,2.2426,0.0203,2.2297,0.0129,0.0129,0.0179,0.0178,0.0195,0.0184,0.000953939,0.003680476,4.999354007,0.002580333,16,10,0.00129,2.580333,
B48G12,Aposymbiotic,Initial,NA,,NA,NA,55,2/21/24,0,0,NA,2.2146,2.2256,0.011,2.2226,0.003,0.003,0.014,0.0142,0.0136,0.013933333,0.000305505,0.003680476,3.785742708,0.000792447,17,11,0.000272727,0.792447,
